번호,brand,시_도,시_군,,si_do,si_gun_name,si_gun_district
3635,롯데리아경포해수욕장점,강원도,강릉시,강문동,Gangwon-do,Gangneung,Si
7775,롯데리아경포대점,강원도,강릉시,강문동,Gangwon-do,Gangneung,Si
7778,롯데리아강릉교동점,강원도,강릉시,교동,Gangwon-do,Gangneung,Si
3538,버거킹강릉교동SK점,강원도,강릉시,교동,Gangwon-do,Gangneung,Si
7782,롯데리아강릉점,강원도,강릉시,임당동,Gangwon-do,Gangneung,Si
7772,유한회사한국맥도날드강릉점,강원도,강릉시,임당동,Gangwon-do,Gangneung,Si
7784,롯데리아강릉디티(DT)점,강원도,강릉시,입암동,Gangwon-do,Gangneung,Si
90,롯데리아강릉주문진점,강원도,강릉시,주문진읍,Gangwon-do,Gangneung,Si
7795,롯데리아강릉포남점,강원도,강릉시,포남동,Gangwon-do,Gangneung,Si
7783,롯데리아강릉터미널점,강원도,강릉시,홍제동,Gangwon-do,Gangneung,Si
6391,롯데리아 고성간성점,강원도,고성군,간성읍,Gangwon-do,Goseong,Gun
9947,롯데리아 망상점,강원도,동해시,망상동,Gangwon-do,Donghae,Si
9954,롯데리아동해쇄운점,강원도,동해시,쇄운동,Gangwon-do,Donghae,Si
2737,한국맥도날드(유) 동해DT점,강원도,동해시,천곡동,Gangwon-do,Donghae,Si
9928,롯데리아동해점,강원도,동해시,천곡동,Gangwon-do,Donghae,Si
3002,롯데리아삼척점,강원도,삼척시,남양동,Gangwon-do,Samcheok,Si
2813,롯데리아설악산점,강원도,속초시,설악동,Gangwon-do,Sokcho,Si
7486,롯데리아속초터미널점,강원도,속초시,조양동,Gangwon-do,Sokcho,Si
3592,버거킹속초디티점,강원도,속초시,조양동,Gangwon-do,Sokcho,Si
7488,맥도날드 속초DT점,강원도,속초시,조양동,Gangwon-do,Sokcho,Si
1185,롯데리아,강원도,양구군,양구읍,Gangwon-do,Yanggu,Gun
9817,롯데리아 낙산해수욕장점,강원도,양양군,강현면,Gangwon-do,Yangyang,Gun
5752,롯데리아 영월점,강원도,영월군,영월읍,Gangwon-do,Yeongwol,Gun
1212,롯데리아롯데마트원주점,강원도,원주시,단계동,Gangwon-do,Wonju,Si
1189,롯데리아 원주 하나로점,강원도,원주시,단계동,Gangwon-do,Wonju,Si
1209,롯데리아(단계점),강원도,원주시,단계동,Gangwon-do,Wonju,Si
1201,롯데리아(원주터미널점),강원도,원주시,단계동,Gangwon-do,Wonju,Si
1213,롯데리아(더블유시티점),강원도,원주시,단계동,Gangwon-do,Wonju,Si
1215,맥도날드원주단계점,강원도,원주시,단계동,Gangwon-do,Wonju,Si
1208,맥도날드원주단구DT점,강원도,원주시,단구동,Gangwon-do,Wonju,Si
1228,버거킹원주무실점,강원도,원주시,무실동,Gangwon-do,Wonju,Si
1207,롯데리아문막점,강원도,원주시,문막읍,Gangwon-do,Wonju,Si
4486,롯데리아혁신도시점,강원도,원주시,반곡동,Gangwon-do,Wonju,Si
1188,롯데리아우산점,강원도,원주시,우산동,Gangwon-do,Wonju,Si
1187,롯데리아원주일산점,강원도,원주시,일산동,Gangwon-do,Wonju,Si
1203,롯데리아오크밸리S/T점,강원도,원주시,지정면,Gangwon-do,Wonju,Si
9774,롯데리아 내린천휴게소점,강원도,인제군,상남면,Gangwon-do,Inje,Gun
6892,롯데리아 인제 터미널점,강원도,인제군,인제읍,Gangwon-do,Inje,Gun
3357,롯데리아,강원도,정선군,정선읍,Gangwon-do,Jeongseon,Gun
8589,롯데리아철원동송점,강원도,철원군,동송읍,Gangwon-do,Cheorwon,Gun
8597,롯데리아  철원와수점,강원도,철원군,서면,Gangwon-do,Cheorwon,Gun
280,버거킹춘천거두GS점,강원도,춘천시,동내면,Gangwon-do,Chuncheon,Si
3536,롯데리아우두점,강원도,춘천시,우두동,Gangwon-do,Chuncheon,Si
2162,롯데리아카펠라점,강원도,춘천시,퇴계동,Gangwon-do,Chuncheon,Si
2203,한국맥도날드(유)춘천퇴계DT점,강원도,춘천시,퇴계동,Gangwon-do,Chuncheon,Si
2170,롯데리아강대점 ,강원도,춘천시,효자동,Gangwon-do,Chuncheon,Si
1622,한국맥도날드(유)춘천후평DT점,강원도,춘천시,후평동,Gangwon-do,Chuncheon,Si
7504,롯데리아 태백,강원도,태백시,황지동,Gangwon-do,Taebaek,Si
3886,롯데리아 알펜시아점,강원도,평창군,대관령면,Gangwon-do,Pyeongchang,Gun
1179,버거킹오션월드,강원도,홍천군,서면,Gangwon-do,Hongcheon,Gun
1176,버거킹비발디점,강원도,홍천군,서면,Gangwon-do,Hongcheon,Gun
9963,롯데리아횡성점,강원도,횡성군,횡성읍,Gangwon-do,Hoengseong,Gun
7591,롯데리아 가평(현리점),경기도,가평군,조종면,Gyeonggi-do,Gapyeong,Gun
7589,롯데리아청평D/T점,경기도,가평군,청평면,Gyeonggi-do,Gapyeong,Gun
5799,롯데리아 고양점,경기도,고양시,덕양구,Gyeonggi-do,Goyang,Si
5880,롯데리아고양관산점,경기도,고양시,덕양구,Gyeonggi-do,Goyang,Si
4196,롯데리아 고양원흥점,경기도,고양시,덕양구,Gyeonggi-do,Goyang,Si
8460,버거킹 스타필드고양점,경기도,고양시,덕양구,Gyeonggi-do,Goyang,Si
5890,한국맥도날드고양맥드라이브점,경기도,고양시,덕양구,Gyeonggi-do,Goyang,Si
